date_str,time_str,headline,url
26/05/26,09:50,Land'Or augmente de 23 % son bénéfice net en 2025 à 13 millions de dinars,https://www.ilboursa.com/marches/land-or-augmente-de-23-son-benefice-net-en-2025-a-13-millions-de-dinars_61921
20/04/26,16:53,Un premier trimestre sous le signe de la croissance et du désendettement pour Land'Or,https://www.ilboursa.com/marches/un-premier-trimestre-sous-le-signe-de-la-croissance-et-du-desendettement-pour-land-or_61185
20/01/26,16:22,Land'Or améliore de 6% ses revenus et réduit sensiblement son endettement en 2025,https://www.ilboursa.com/marches/land-or-ameliore-de-6-ses-revenus-et-reduit-sensiblement-son-endettement-en-2025_59148
22/10/25,12:41,Land’Or : Hausse des revenus et réduction drastique de l’endettement,https://www.ilboursa.com/marches/landor -hausse-des-revenus-et-reduction-drastique-de-lendettement_57027
09/09/25,09:01,Land'Or stabilise quasiment son bénéfice net au premier semestre 2025,https://www.ilboursa.com/marches/land-or-stabilise-quasiment-son-benefice-net-au-premier-semestre-2025_54938
28/07/25,11:36,"Rebond à l’export et baisse de l'endettement, Land’Or affiche une croissance solide à fin juin",https://www.ilboursa.com/marches/rebond-a-lexport-et-baisse-de-l-endettement-landor-affiche-une-croissance-solide-a-fin-juin_54076
03/06/25,15:37,Le Groupe Land'Or double quasiment son bénéfice en 2024 à un record de 12 millions de dinars,https://www.ilboursa.com/marches/le-groupe-land-or-double-quasiment-son-benefice-en-2024-a-un-record-de-12-millions-de-dinars_53010
05/05/25,18:22,Land'Or double quasiment ses bénéfices à plus de 10 millions de dinars en 2024,https://www.ilboursa.com/marches/land-or-double-quasiment-ses-benefices-a-plus-de-10-millions-de-dinars-en-2024_52479
23/04/25,08:58,Land'Or améliore de 4% ses revenus trimestriels et réduit sensiblement son endettement,https://www.ilboursa.com/marches/land-or-ameliore-de-4-ses-revenus-trimestriels-et-reduit-sensiblement-son-endettement_52243
21/01/25,08:27,La baisse des exportations freine la croissance des revenus de Land’Or en 2024,https://www.ilboursa.com/marches/la-baisse-des-exportations-freine-la-croissance-des-revenus-de-landor-en-2024_50385
17/10/24,13:27,Land'Or annonce un chiffre d'affaires de 140 millions de dinars à fin septembre,https://www.ilboursa.com/marches/land-or-annonce-un-chiffre-d-affaires-de-140-millions-de-dinars-a-fin-septembre_48775
03/09/24,08:09,Land'Or renoue avec les bénéfices au premier semestre,https://www.ilboursa.com/marches/land-or-renoue-avec-les-benefices-au-premier-semestre_47929
23/07/24,12:10,La Libye pèse sur le chiffre d’affaires de Land’Or au premier semestre,https://www.ilboursa.com/marches/la-libye-pese-sur-le-chiffre-daffaires-de-landor-au-premier-semestre_47371
22/05/24,09:03,Le Groupe Land'Or annonce un bénéfice net de près de 7 millions de dinars en 2023,https://www.ilboursa.com/marches/le-groupe-land-or-annonce-un-benefice-net-de-pres-de-7-millions-de-dinars-en-2023_46357
30/04/24,16:11,Land'Or renoue avec les bénéfices en 2023,https://www.ilboursa.com/marches/land-or-renoue-avec-les-benefices-en-2023_45995
19/04/24,13:15,Land'Or réalise un chiffre d'affaires de plus de 50 millions de dinars au premier trimestre,https://www.ilboursa.com/marches/land-or-realise-un-chiffre-d-affaires-de-plus-de-50-millions-de-dinars-au-premier-trimestre_45804
22/01/24,15:48,"Land'Or frôle les 200 millions de dinars de revenus en 2023, un record",https://www.ilboursa.com/marches/land-or-frole-les-200-millions-de-dinars-de-revenus-en-2023-un-record_44498
17/10/23,09:36,Land'Or améliore de plus de 20% ses revenus à fin septembre à 145 millions de dinars,https://www.ilboursa.com/marches/land-or-ameliore-de-plus-de-20-ses-revenus-a-fin-septembre-a-145-millions-de-dinars_43114
21/07/23,14:16,Land'Or clôture la première moitié de l’année avec un chiffre d’affaires en hausse de 14%,https://www.ilboursa.com/marches/land-or-cloture-la-premiere-moitie-de-lannee-avec-un-chiffre-daffaires-en-hausse-de-14_41770
19/04/23,16:04,Land'Or augmente son chiffre d'affaires trimestriel de 17% à plus de 50 millions de dinars,https://www.ilboursa.com/marches/land-or-augmente-son-chiffre-d-affaires-trimestriel-de-17-a-plus-de-50-millions-de-dinars_40280
23/01/23,18:01,Land'Or annonce un chiffre d'affaires de plus de 160 millions de dinars en 2022,https://www.ilboursa.com/marches/land-or-annonce-un-chiffre-d-affaires-de-plus-de-160-millions-de-dinars-en-2022_38917
22/10/22,09:58,Land'Or annonce un chiffre d'affaires de près de 120 millions de dinars à fin septembre,https://www.ilboursa.com/marches/land-or-annonce-un-chiffre-d-affaires-de-pres-de-120-millions-de-dinars-a-fin-septembre_37346
09/08/22,10:18,"Land'Or augmente son capital de 2,5 millions de dinars",https://www.ilboursa.com/marches/land-or-augmente-son-capital-de-2-5-millions-de-dinars_35985
